URL=www.google.com
1442982483,200
1442982513,200
1442982544,200
1442982574,200
1442982604,200
1442982634,200
1442982665,200
1442982695,200
1442982725,200
1442982755,-1
1442982785,200
1442982816,200
1442982846,200
1442982876,200
1442982906,200
1442982936,200
1442982966,200
1442982996,200
1442983027,-1
1442983057,-1
1442983087,-1
1442983117,200
1442983147,200
1442983177,200
1442983208,200
1442983238,301
1442983268,301
1442983298,200
1442983328,200
1442983358,200
1442983389,200
1442983419,200
1442983454,500
1442983484,500
1442983514,500
1442983544,200
1442983574,200
1442983605,200
1442983635,200
